date,nb_utxo
25/04/2010,45490
26/04/2010,45611
27/04/2010,45775
28/04/2010,45876
29/04/2010,46003
30/04/2010,46135
01/05/2010,46278
02/05/2010,46415
03/05/2010,46487
04/05/2010,46462
05/05/2010,46455
06/05/2010,46349
07/05/2010,46414
08/05/2010,46320
09/05/2010,46401
10/05/2010,46407
11/05/2010,46498
12/05/2010,46523
13/05/2010,46576
14/05/2010,45796
15/05/2010,44886
16/05/2010,44972
17/05/2010,45017
18/05/2010,45111
19/05/2010,45193
20/05/2010,45358
21/05/2010,45413
22/05/2010,45379
23/05/2010,45500
24/05/2010,45637
25/05/2010,45773
26/05/2010,45890
27/05/2010,45979
28/05/2010,46162
29/05/2010,46248
30/05/2010,46362
31/05/2010,46465
01/06/2010,46540
02/06/2010,46662
03/06/2010,46684
04/06/2010,46795
05/06/2010,46897
06/06/2010,46990
07/06/2010,46904
08/06/2010,46997
09/06/2010,47072
10/06/2010,47210
11/06/2010,47328
12/06/2010,47431
13/06/2010,47537
14/06/2010,47589
15/06/2010,47744
16/06/2010,47778
17/06/2010,47903
18/06/2010,47986
19/06/2010,47971
20/06/2010,48115
21/06/2010,48242
22/06/2010,48323
23/06/2010,48460
24/06/2010,48558
25/06/2010,48701
26/06/2010,48844
27/06/2010,48978
28/06/2010,49106
29/06/2010,49165
30/06/2010,48433
01/07/2010,48536
02/07/2010,48327
03/07/2010,48462
04/07/2010,48387
05/07/2010,48465
06/07/2010,48584
07/07/2010,48609
08/07/2010,48732
09/07/2010,48899
10/07/2010,48965
11/07/2010,49167
12/07/2010,50933
13/07/2010,51949
14/07/2010,57252
15/07/2010,56876
16/07/2010,57518
17/07/2010,57567
18/07/2010,57527
19/07/2010,57695
20/07/2010,57868
21/07/2010,57995
22/07/2010,58224
23/07/2010,58443
24/07/2010,58562
25/07/2010,58634
26/07/2010,57985
27/07/2010,58097
28/07/2010,57726
29/07/2010,57946
30/07/2010,57937
31/07/2010,57988
01/08/2010,58136
02/08/2010,58289
03/08/2010,58580
04/08/2010,58792
05/08/2010,58702
06/08/2010,58791
07/08/2010,58729
08/08/2010,58924
09/08/2010,58078
10/08/2010,58195
11/08/2010,58294
12/08/2010,58527
13/08/2010,58576
14/08/2010,58635
15/08/2010,58742
16/08/2010,58716
17/08/2010,58843
18/08/2010,58068
19/08/2010,58212
20/08/2010,58362
21/08/2010,58513
22/08/2010,58623
23/08/2010,58730
24/08/2010,58442
25/08/2010,58640
26/08/2010,58671
27/08/2010,58772
28/08/2010,58850
29/08/2010,58994
30/08/2010,59064
31/08/2010,58848
01/09/2010,58825
02/09/2010,58882
03/09/2010,59040
04/09/2010,59161
05/09/2010,59246
06/09/2010,59312
07/09/2010,59420
08/09/2010,59562
09/09/2010,59655
10/09/2010,59814
11/09/2010,59965
12/09/2010,59958
13/09/2010,60041
14/09/2010,60175
15/09/2010,60308
16/09/2010,60426
17/09/2010,60074
18/09/2010,60231
19/09/2010,60283
20/09/2010,60385
21/09/2010,60442
22/09/2010,60567
23/09/2010,60667
24/09/2010,60828
25/09/2010,60929
26/09/2010,61033
27/09/2010,60835
28/09/2010,59981
29/09/2010,60056
30/09/2010,60159
01/10/2010,60469
02/10/2010,60444
03/10/2010,60560
04/10/2010,60561
05/10/2010,60604
06/10/2010,60716
07/10/2010,60758
08/10/2010,60667
09/10/2010,60644
10/10/2010,60747
11/10/2010,60826
12/10/2010,60917
13/10/2010,60691
14/10/2010,60765
15/10/2010,60893
16/10/2010,60867
17/10/2010,61033
18/10/2010,61164
19/10/2010,61425
20/10/2010,61591
21/10/2010,61667
22/10/2010,61788
23/10/2010,61949
24/10/2010,62128
25/10/2010,62209
26/10/2010,62446
27/10/2010,62493
28/10/2010,62540
29/10/2010,62553
30/10/2010,62718
31/10/2010,62752
01/11/2010,62846
02/11/2010,62963
03/11/2010,63077
04/11/2010,63136
05/11/2010,63074
06/11/2010,63208
07/11/2010,63334
08/11/2010,62730
09/11/2010,62842
10/11/2010,62997
11/11/2010,63136
12/11/2010,63235
13/11/2010,63329
14/11/2010,63228
15/11/2010,64199
16/11/2010,66827
17/11/2010,66977
18/11/2010,67176
19/11/2010,67217
20/11/2010,67509
21/11/2010,67582
22/11/2010,67687
23/11/2010,67749
24/11/2010,67584
25/11/2010,64603
26/11/2010,64926
27/11/2010,65065
28/11/2010,65357
29/11/2010,65410
30/11/2010,65592
01/12/2010,65659
02/12/2010,65817
03/12/2010,65783
04/12/2010,65923
05/12/2010,66147
06/12/2010,66421
07/12/2010,66512
08/12/2010,66758
09/12/2010,66924
10/12/2010,67123
11/12/2010,67436
12/12/2010,67812
13/12/2010,67639
14/12/2010,67977
15/12/2010,68258
16/12/2010,68469
17/12/2010,68481
18/12/2010,68767
19/12/2010,68783
20/12/2010,69296
21/12/2010,69607
22/12/2010,69884
23/12/2010,70213
24/12/2010,70549
25/12/2010,71011
26/12/2010,71355
27/12/2010,71354
28/12/2010,71754
29/12/2010,71903
30/12/2010,72144
31/12/2010,72463
01/01/2011,72744
02/01/2011,72907
03/01/2011,72812
04/01/2011,73249
05/01/2011,73520
06/01/2011,73691
07/01/2011,74168
08/01/2011,74719
09/01/2011,75106
10/01/2011,75522
11/01/2011,75921
12/01/2011,76305
13/01/2011,76496
14/01/2011,76724
15/01/2011,77108
16/01/2011,77493
17/01/2011,77999
18/01/2011,78311
19/01/2011,78719
20/01/2011,79289
21/01/2011,79680
22/01/2011,79806
23/01/2011,80026
24/01/2011,80514
25/01/2011,81007
26/01/2011,81483
27/01/2011,81628
28/01/2011,82161
29/01/2011,82405
30/01/2011,82830
31/01/2011,83069
01/02/2011,82843
02/02/2011,83133
03/02/2011,83519
04/02/2011,83921
05/02/2011,84133
06/02/2011,84395
07/02/2011,84840
08/02/2011,85213
09/02/2011,85845
10/02/2011,86570
11/02/2011,87822
12/02/2011,88669
13/02/2011,89607
14/02/2011,89794
15/02/2011,90982
16/02/2011,91808
17/02/2011,92989
18/02/2011,93527
19/02/2011,94235
20/02/2011,95374
21/02/2011,96678
22/02/2011,97761
23/02/2011,98880
24/02/2011,99858
25/02/2011,100905
26/02/2011,101716
27/02/2011,102684
28/02/2011,103330
01/03/2011,104613
02/03/2011,105485
03/03/2011,107624
